Function,Synopsis,Parameter,Type,Mandatory,IsSwitch,Aliases,ParameterSets,AcceptsPipeline,Description
Add-ADTEdgeExtension,Adds an extension for Microsoft Edge using the ExtensionSettings policy.,ExtensionID,String,TRUE,FALSE,,__AllParameterSets,FALSE,The ID of the extension to add.
Add-ADTEdgeExtension,Adds an extension for Microsoft Edge using the ExtensionSettings policy.,UpdateUrl,String,TRUE,FALSE,,__AllParameterSets,FALSE,The update URL of the extension. This is the URL where the extension will check for updates.
Add-ADTEdgeExtension,Adds an extension for Microsoft Edge using the ExtensionSettings policy.,InstallationMode,String,TRUE,FALSE,,__AllParameterSets,FALSE,"The installation mode of the extension. Allowed values: blocked, allowed, removed, force_installed, normal_installed."
Add-ADTEdgeExtension,Adds an extension for Microsoft Edge using the ExtensionSettings policy.,MinimumVersionRequired,String,FALSE,FALSE,,__AllParameterSets,FALSE,The minimum version of the extension required for installation.
Add-ADTModuleCallback,Adds a callback function to the nominated hooking point.,Hookpoint,CallbackType,TRUE,FALSE,,__AllParameterSets,FALSE,"Where you wish for the callback to be executed at. Valid hookpoints are: * OnInit (The callback is executed before the module is initialized) * OnStart (The callback is executed before the first deployment session is opened) * PreOpen (The callback is executed before a deployment session is opened) * PostOpen (The callback is executed after a deployment session is opened) * PreClose (The callback is executed before the deployment session is closed) * PostClose (The callback is executed after the deployment session is closed) * OnFinish (The callback is executed before the last deployment session is closed) * OnExit (The callback is executed after the last deployment session is closed) Each hook point supports multiple callbacks, each invoked in the order they're added. To see a list all the registered callbacks in order, use `Get-ADTModuleCallback`."
Add-ADTModuleCallback,Adds a callback function to the nominated hooking point.,Callback,CommandInfo[],TRUE,FALSE,,__AllParameterSets,FALSE,The callback function to add to the nominated hooking point.
Block-ADTAppExecution,Block the execution of an application(s).,Processes,ProcessDefinition[],TRUE,FALSE,ProcessName,__AllParameterSets,FALSE,Name of the process or processes separated by commas.
Block-ADTAppExecution,Block the execution of an application(s).,WindowLocation,DialogPosition,FALSE,FALSE,,__AllParameterSets,FALSE,The location of the dialog on the screen.
Clear-ADTModuleCallback,Clears the nominated hooking point of all callbacks.,Hookpoint,CallbackType,TRUE,FALSE,,__AllParameterSets,FALSE,"The callback hook point that you wish to clear. Valid hookpoints are: * OnInit (The callback is executed before the module is initialized) * OnStart (The callback is executed before the first deployment session is opened) * PreOpen (The callback is executed before a deployment session is opened) * PostOpen (The callback is executed after a deployment session is opened) * PreClose (The callback is executed before the deployment session is closed) * PostClose (The callback is executed after the deployment session is closed) * OnFinish (The callback is executed before the last deployment session is closed) * OnExit (The callback is executed after the last deployment session is closed) To see a list all the registered callbacks in order, use `Get-ADTModuleCallback`."
Close-ADTInstallationProgress,Closes the dialog created by Show-ADTInstallationProgress.,(none),,,,,,,
