Function,Synopsis,Syntax
Add-ADTEdgeExtension,Adds an extension for Microsoft Edge using the ExtensionSettings policy.,Add-ADTEdgeExtension [-ExtensionID] <String> [-UpdateUrl] <String> [-InstallationMode] <String> [[-MinimumVersionRequired] <String>] [<CommonParameters>]
Add-ADTModuleCallback,Adds a callback function to the nominated hooking point.,Add-ADTModuleCallback [-Hookpoint] <CallbackType> [-Callback] <CommandInfo[]> [<CommonParameters>]
Block-ADTAppExecution,Block the execution of an application(s).,Block-ADTAppExecution [-Processes] <ProcessDefinition[]> [[-WindowLocation] <DialogPosition>] [<CommonParameters>]
Clear-ADTModuleCallback,Clears the nominated hooking point of all callbacks.,Clear-ADTModuleCallback [-Hookpoint] <CallbackType> [<CommonParameters>]
Close-ADTInstallationProgress,Closes the dialog created by Show-ADTInstallationProgress.,Close-ADTInstallationProgress [<CommonParameters>]
Close-ADTSession,Closes the active ADT session.,Close-ADTSession [[-ExitCode] <Nullable`1>] [-NoShellExit] [-Force] [-PassThru] [<CommonParameters>]
Complete-ADTFunction,Completes the execution of an ADT function.,Complete-ADTFunction [-Cmdlet] <PSCmdlet> [<CommonParameters>]
Convert-ADTRegistryPath,Converts the specified registry key path to a format that is compatible with built-in PowerShell cmdlets.,Convert-ADTRegistryPath [-Key] <String> [[-SID] <String>] [-Wow6432Node] [<CommonParameters>]
Convert-ADTValuesFromRemainingArguments,Converts the collected values from a ValueFromRemainingArguments parameter value into a dictionary or PowerShell.exe command line arguments.,Convert-ADTValuesFromRemainingArguments [-RemainingArguments] <IReadOnlyList`1> [<CommonParameters>]
Convert-ADTValueType,Casts the provided value to the requested type without range errors.,Convert-ADTValueType [-Value] <Int64> [-To] <ValueTypes> [<CommonParameters>]
ConvertTo-ADTNTAccountOrSID,Convert between NT Account names and their security identifiers (SIDs).,ConvertTo-ADTNTAccountOrSID [-AccountName] <NTAccount> [-SID] <SecurityIdentifier> [-WellKnownSIDName] <WellKnownSidType> [-WellKnownToNTAccount] [-LocalHost] [-LdapUri] <String> [<CommonParameters>]
Copy-ADTContentToCache,Copies the toolkit content to a cache folder on the local machine and sets the $adtSession.DirFiles and $adtSession.DirSupportFiles directory to the cache path.,Copy-ADTContentToCache [[-LiteralPath] <String>] [<CommonParameters>]
Copy-ADTFile,Copies files and directories from a source to a destination.,Copy-ADTFile [-Path] <String[]> [-Destination] <String> [-Recurse] [-Flatten] [-ContinueFileCopyOnError] [[-FileCopyMode] <String>] [[-RobocopyParams] <String>] [[-RobocopyAdditionalParams] <String>] [<CommonParameters>]
Copy-ADTFileToUserProfiles,Copy one or more items to each user profile on the system.,Copy-ADTFileToUserProfiles [-Path] <String[]> [[-Destination] <String>] [[-BasePath] <String>] [-Recurse] [-Flatten] [[-FileCopyMode] <String>] [[-RobocopyParams] <String>] [[-RobocopyAdditionalParams] <String>] [-UserProfiles] <UserProfile[]> [[-ExcludeNTAccount] <String[]>] [-IncludeSystemProfiles] [-IncludeServiceProfiles] [-ExcludeDefaultUser] [-ContinueFileCopyOnError] [<CommonParameters>]
Disable-ADTTerminalServerInstallMode,Changes the current Remote Desktop Session Host/Citrix server to user execute mode.,Disable-ADTTerminalServerInstallMode [<CommonParameters>]
Dismount-ADTWimFile,Dismounts a WIM file from the specified mount point.,Dismount-ADTWimFile [-ImagePath] <FileInfo[]> [-Path] <DirectoryInfo[]> [<CommonParameters>]
Enable-ADTTerminalServerInstallMode,Changes the current Remote Desktop Session Host/Citrix server to user install mode.,Enable-ADTTerminalServerInstallMode [<CommonParameters>]
Export-ADTEnvironmentTableToSessionState,Exports the content of `Get-ADTEnvironmentTable` to the provided SessionState as variables.,Export-ADTEnvironmentTableToSessionState [[-SessionState] <SessionState>] [<CommonParameters>]
Get-ADTApplication,Retrieves information about installed applications.,Get-ADTApplication [[-Name] <String[]>] [[-NameMatch] <String>] [[-ProductCode] <Guid[]>] [[-ApplicationType] <String>] [-IncludeUpdatesAndHotfixes] [[-FilterScript] <ScriptBlock>] [<CommonParameters>]
Get-ADTBoundParametersAndDefaultValues,Returns a hashtable with the output of $PSBoundParameters and default-valued parameters for the given InvocationInfo.,Get-ADTBoundParametersAndDefaultValues [-Invocation] <InvocationInfo> [[-ParameterSetName] <String>] [[-HelpMessage] <String>] [[-Exclude] <String[]>] [-CommonParameters] [<CommonParameters>]
Get-ADTCommandTable,Returns PSAppDeployToolkit's safe command lookup table.,Get-ADTCommandTable [<CommonParameters>]
Get-ADTConfig,Retrieves the configuration data for the ADT module.,Get-ADTConfig [<CommonParameters>]
Get-ADTDeferHistory,Get the history of deferrals in the registry for the current application.,Get-ADTDeferHistory [<CommonParameters>]
Get-ADTEnvironment,Retrieves the environment data for the ADT module. This function has been replaced by [Get-ADTEnvironmentTable]. Please migrate your scripts as this will be removed in PSAppDeployToolkit 4.2.0.,Get-ADTEnvironment [<CommonParameters>]
Get-ADTEnvironmentTable,Retrieves the environment data for the ADT module.,Get-ADTEnvironmentTable [<CommonParameters>]
